,Address,City,Owner Name,Mailing Address,Price,Number of Units,Total area,Number Of Stories,Lot Size,Type,Year Built,location,point,latitude,longitude,altitude
6730,"Emkay Drive & Cyber Drive, Bend, OR, 97702","Bend, OR 97702 ·",,,5188000.0, , , ,3.97 AC,Land, ,"SW Emkay Dr & SW Cyber Dr, Bend, OR 97702, USA","['44.0452984', '-121.3250018', '0.0']",44.0452984,-121.3250018,0.0
6731,"11777 Hwy. 238, Jacksonville, OR, 97530","Jacksonville, OR 97530 ·",,,10000000.0, , , ,260 AC,Agricultural, ,"11777 OR-238, Jacksonville, OR 97530, USA","['42.2383885', '-123.114294', '0.0']",42.2383885,-123.114294,0.0
6732,"Township Road @ Mulino Road, Canby, OR, 97013","Canby, OR 97013 ·",,,13721400.0, , , ,14 - 60 AC,Land, ,"S Mulino Rd & S Township Rd, Oregon 97013, USA","['45.2593737', '-122.6611459', '0.0']",45.2593737,-122.6611459,0.0
6733,"620 SW Wood St, Hillsboro, OR, 97123","Hillsboro, OR 97123 ·",,,3500000.0, ,23000, ,"422,967 SF",Industrial, ,"620 SW Wood St, Hillsboro, OR 97123, USA","['45.5122521', '-122.9957386', '0.0']",45.5122521,-122.9957386,0.0
6734,"2601 SW Water Ave, Portland, OR, 97201","Portland, OR 97201 ·",,,5750000.0, , , ,"20,059 SF",Land, ,"2601 S Water Ave, Portland, OR 97201, USA","['45.5042386', '-122.6768321', '0.0']",45.5042386,-122.6768321,0.0
6735,"100 Almond St, Medford, OR, 97504","Medford, OR 97504 ·",,,16000000.0,108,69160,5,1.32 AC,Multifamily, ,"100 Almond St, Medford, OR 97504, USA","['42.3268658', '-122.8675469', '0.0']",42.3268658,-122.8675469,0.0
6736,"1060 2nd St NW, Salem, OR, 97304","Salem, OR 97304 ·",,,3550000.0, ,5916, ,"42,626 SF",Office, ,"1060 2nd St NW, Salem, OR 97304, USA","['44.942367', '-123.0558522', '0.0']",44.942367,-123.0558522,0.0
6737,"10174 & 10176 SE 82nd Avenue, Happy Valley, OR, 97086","Happy Valley, OR 97086 ·",,,13689000.0, ,74263, , ,Retail, ,"10174 SE 82nd Ave, Happy Valley, OR 97086, USA","['45.4490614', '-122.5768559', '0.0']",45.4490614,-122.5768559,0.0
6738,"SE Corner of Antler and 9th Street, Redmond, OR, 97756","Redmond, OR 97756 ·",,,5074740.0, , , ,46.61 AC,Land, ,"NE 9th St & E Antler Ave, Redmond, OR 97756, USA","['44.2765541', '-121.1588201', '0.0']",44.2765541,-121.1588201,0.0
6739,"1215-1241 State St, Salem, OR, 97301","Salem, OR 97301 ·",,,19100000.0, ,77384, ,0.42 AC,Office,1996,"1215 State St, Salem, OR 97301, USA","['44.937206', '-123.026591', '0.0']",44.937206,-123.026591,0.0
6740,"213 SW Columbia St, Bend, OR, 97702","Bend, OR 97702 ·",,,4245000.0, , , ,2.32 AC,Land, ,"213 SW Columbia St, Bend, OR 97702, USA","['44.047111', '-121.3280162', '0.0']",44.047111,-121.3280162,0.0
6741,"1695 Oak Street, Hood River, OR, 97031","Hood River, OR 97031 ·",,,5400000.0,48,41594, ,2.63 AC,Multifamily,1970,"1695 Oak St, Hood River, OR 97031, USA","['45.708642', '-121.5280152', '0.0']",45.708642,-121.5280152,0.0
6742,"6855 NE Breyman Orchards Rd, Dayton, OR, 97114","Dayton, OR 97114 ·",,,3350000.0, ,5873, ,12.76 AC,Hotel & Motel,1910,"6855 NE Breyman Orchards Rd, Dayton, OR 97114, USA","['45.2662132', '-123.0645485', '0.0']",45.2662132,-123.0645485,0.0
6743,"12101 Summit Loop SE, Turner, OR, 97392","Turner, OR 97392 ·",,,6200000.0, , , ,50.74 AC,Land, ,"12101 Summit Loop SE, Turner, OR 97392, USA","['44.775355', '-122.9715079', '0.0']",44.775355,-122.9715079,0.0
6744,26 Acres,"Salem, OR 97303 ·",,,4900000.0, , , ,26.07 AC,Land, ,"7285 W Winds Blvd NW, Concord, NC 28027, USA","['35.388337', '-80.723158', '0.0']",35.388337,-80.723158,0.0
6745,"NW Greenbrier Pkwy @ NW 158th Ave, Beaverton, OR, 97006","Beaverton, OR 97006 ·",,,10535000.0, , , ,6.91 AC,Land, ,"NW Greenbrier Pkwy & NW 158th Ave, Beaverton, OR 97006, USA","['45.5263193', '-122.8396776', '0.0']",45.5263193,-122.8396776,0.0
6746,"2025 Sheridan St, North Bend, OR, 97459","North Bend, OR 97459 ·",,,3449000.0, ,24066,1,1.82 AC,Office,1995,"2025 Sheridan Ave, North Bend, OR 97459, USA","['43.4061982', '-124.2222867', '0.0']",43.4061982,-124.2222867,0.0
6747,"Hazelgreen Road NE, Salem, OR, 97305","Salem, OR 97305 ·",,,3394500.0, , , ,45.26 AC,Land, ,"Hazelgreen Rd NE, Brooks, OR 97305, USA","['45.0097444', '-122.9056626', '0.0']",45.0097444,-122.9056626,0.0
6748,"720 NE Circle Blvd, Corvallis, OR, 97330","Corvallis, OR 97330 ·",,,3500000.0, ,24560,1,"66,211 SF",Retail,2000,"720 NE Circle Blvd, Corvallis, OR 97330, USA","['44.5885076', '-123.2488086', '0.0']",44.5885076,-123.2488086,0.0
6749,"7300 Alderbrook Rd., Tillamook, OR, 97141","Tillamook, OR 97141 ·",,,4900000.0, ,25000, ,148 AC,Sport & Entertainment, ,"7300 Alderbrook Rd, Tillamook, OR 97141, USA","['45.510278', '-123.8610535', '0.0']",45.510278,-123.8610535,0.0
6750,"Sunnyside Road & SE 162nd Avenue, Happy Valley, OR, 97015","Happy Valley, OR 97015 ·",,,7250000.0, , , ,5.13 AC,Land, ,"SE Sunnyside Rd & SE 162nd Ave, Happy Valley, OR 97015, USA","['45.4269474', '-122.496866', '0.0']",45.4269474,-122.496866,0.0
6751,"E. Enid Road, Eugene, OR, 97402","Eugene, OR 97402 ·",,,5019000.0, , , ,54.73 AC,Land, ,"E Enid Rd, Eugene, OR 97402, USA","['44.1170652', '-123.1767169', '0.0']",44.1170652,-123.1767169,0.0
6752,"S Sequoia Parkway & Pacific Hwy E, Canby, OR, 97013","Canby, OR 97013 ·",,,3300000.0, , , ,12.60 AC,Land, ,"Sequoia Pkwy & Pacific Hwy E, Oregon 97013, USA","['45.2689695', '-122.6759351', '0.0']",45.2689695,-122.6759351,0.0
6753,"Gaia St. SE and Gaffin Road SE, Salem, OR, 97317","Salem, OR 97317 ·",,,6316200.0, , , ,3 - 50 AC,Land, ,"Gaffin Rd SE & Gaia St S E, Salem, OR 97317, USA","['44.9044342', '-122.9483284', '0.0']",44.9044342,-122.9483284,0.0
6754,"4211 W 11th Ave, Eugene, OR, 97402","Eugene, OR 97402 ·",,,3585000.0, ,29747,1,2.37 AC,Retail,1978,"4211 W 11th Ave, Eugene, OR 97402, USA","['44.0486043', '-123.1665252', '0.0']",44.0486043,-123.1665252,0.0
6755,"3300-3324 NE Broadway St, Portland, OR, 97232","Portland, OR 97232 ·",,,3875000.0, ,27000, ,0.41 AC,Office,1918,"3300 NE Broadway, Portland, OR 97232, USA","['45.5349884', '-122.6302375', '0.0']",45.5349884,-122.6302375,0.0
6756,"64155 N Hwy 97, Bend, OR, 97701","Bend, OR 97701 ·",,,4000000.0, ,44000, , ,Hotel & Motel, ,"64155 N Hwy 97, Bend, OR 97701, USA","['44.12953', '-121.2825019', '0.0']",44.12953,-121.2825019,0.0
6757,3613,"Albany, OR 97321 ·",,,5000000.0, ,110000,2,17 AC,Industrial, ,"5183 Murfreesboro Rd, La Vergne, TN 37086, USA","['36.019708', '-86.5727255', '0.0']",36.019708,-86.5727255,0.0
6758,"35 SW Ellingson St., Depoe Bay, OR, 97341","Depoe Bay, OR 97341 ·",,,3300000.0, ,6995, , ,Hotel & Motel, ,"35 Ellingson St, Depoe Bay, OR 97341, USA","['44.8089575', '-124.062328', '0.0']",44.8089575,-124.062328,0.0
6759,"NW Campus and Noble Drive, Estacada, OR, 97023","Estacada, OR 97023 ·",,,4409143.0, , , ,50 - 50.61 AC,Land, ,"NW Campus Dr & NW Noble Rd, Estacada, OR 97022, USA","['45.3107214', '-122.3471671', '0.0']",45.3107214,-122.3471671,0.0
6760,"14621 SE McLoughlin Blvd, Milwaukie, OR, 97267","Milwaukie, OR 97267 ·",,,3380000.0, ,15144,1,1.33 AC,Retail, ,"14621 SE McLoughlin Blvd, Milwaukie, OR 97267, USA","['45.41674769999999', '-122.6334835', '0.0']",45.41674769999999,-122.6334835,0.0
6761,"24224 Vaughn Rd., Veneta, OR, 97487","Veneta, OR 97487 ·",,,3400000.0, , , ,331 AC,Land, ,"24224 Vaughn Rd, Veneta, OR 97487, USA","['44.003058', '-123.3837696', '0.0']",44.003058,-123.3837696,0.0
6762,"3390 NE Sandy Blvd, Portland, OR, 97232","Portland, OR 97232 ·",,,3750000.0, , , ,"18,644 SF",Land, ,"3390 NE Sandy Blvd, Portland, OR 97232, USA","['45.53202', '-122.6289892', '0.0']",45.53202,-122.6289892,0.0
6763,"3700 Portland Road NE, Salem, OR, 97301","Salem, OR 97301 ·",,,3850000.0, ,45827, ,4.17 AC,Office,1960,"3700 Portland Rd NE, Salem, OR 97301, USA","['44.9735171', '-123.0013635', '0.0']",44.9735171,-123.0013635,0.0
